opcode,MOS_M6502,Rockwell_R6502,Rockwell_R65C02,CMD_G65SC02,GTE_G65SC802,GTE_G65SC816,WDC_W65C02S,WDC_W65C816S,MOS_6502A,MOS_6504,MOS_6507,MOS_6510,MOS_8500,MOS_8502,MOS_6512,MOS_7501,MOS_8501,Rockwell_R65C02P4,Synertek_SY6502,Ricoh_2A03,Ricoh_2A07,Hudson_HuC6280,WDC_65C02,WDC_65SC02,WDC_65C816,MOS_6503,MOS_6508,MOS_6509,MOS_6510T,CSG_65CE02,MOS_4510,GTE_G65SC12,GTE_G65SC102,GTE_G65SC112,Rockwell_R65C19,Rockwell_L2800,Ricoh_RP2A03G,Mitsubishi_M740,MOS_6500_1,Rockwell_R65C102,Rockwell_R65C112,Ricoh_RP2A03_CORE,Mitsubishi_M37450,Mitsubishi_M37640,Mitsubishi_M50734,Mitsubishi_M50740,Mitsubishi_M50741,Mitsubishi_M50753,DataEast_DECO16,Sitronix_ST2202,Sitronix_ST2204,Sitronix_ST2205U,Sitronix_ST2302U,XaviX_SSD97_98,XaviX_SSD2000,XaviX_SSD2002,Yamaha_GEW7,Yamaha_GEW12,VT3XX_SPU
00,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK,BRK
01,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA
02,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV
03,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV
04,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV
05,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA
06,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL
07,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV,INV
08,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP,PHP
09,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA
