status,family,opcode_hex,mnemonic,address_mode,documented_cycles_wdc,visual6502_timing_path,has_page_cross_variant,has_branch_variant,read_write_pattern,implementation_owner,source_confidence,notes
planned,control,00,BRK,IMP,0/6,"// The 6502 bug when a nmi occurs in a brk is reproduced (case !irq_taken && nmi_pending) ; if(irq_taken) { ; read_pc(); ; read_pc(); ; PC++; ; write(SP, PC >> 8); ; dec_SP(); ; write(SP, PC); ; dec_SP(); ; write(SP, irq_taken ? P & ~F_B : P); ; dec_SP(); ; if(nmi_pending) { ; standard_irq_callback(NMI_LINE, PC); ; PC = read_arg(0xfffa); ; PC = set_h(PC, read_arg(0xfffb)); ; nmi_pending = false; ; if(irq_taken) ; standard_irq_callback(IRQ_LINE, PC); ; PC = read_arg(0xfffe); ; PC = set_h(PC, read_arg(0xffff)); ; irq_taken = false; ; P |= F_I; // Do *not* move after the prefetch ; prefetch(); ; inst_state = -1;",no,no,control-flow,,high (mame opcode map),mame_handler=brk_imp; cycles_source=mame_seq_derived
in_progress,logic,01,ORA,IND_X,6,"TMP2 = read_pc(); ; PC++; ; read(TMP2); ; TMP2 += X; ; TMP = read(TMP2 & 0xff); ; TMP = set_h(TMP, read((TMP2+1) & 0xff)); ; TMP2 = read(TMP); ; A |= TMP2; ; set_nz(A); ; prefetch();",no,no,read,,high (mame opcode map),mame_handler=ora_idx; cycles_source=mame_seq_derived
planned,nop,02,KIL,NON,4+,read_pc(); ; PC++; ; read(0xffff); ; read(0xfffe); ; read(0xfffe); ; for(;;) { ; read(0xffff);,no,no,internal/illegal,,high (mame opcode map),mame_handler=kil_non; cycles_source=mame_seq_derived
planned,misc,03,SLO,IND_X,8,"TMP2 = read_pc(); ; PC++; ; read(TMP2); ; TMP2 += X; ; TMP = read(TMP2 & 0xff); ; TMP = set_h(TMP, read((TMP2+1) & 0xff)); ; TMP2 = read(TMP); ; write(TMP, TMP2); ; TMP2 = do_asl(TMP2); ; write(TMP, TMP2); ; A |= TMP2; ; set_nz(A); ; prefetch();",no,no,read,,high (mame opcode map),mame_handler=slo_idx; cycles_source=mame_seq_derived
planned,nop,04,NOP,ZPG,3,TMP = read_pc(); ; PC++; ; read(TMP); ; prefetch();,no,no,read,,high (mame opcode map),mame_handler=nop_zpg; cycles_source=mame_seq_derived
in_progress,logic,05,ORA,ZPG,3,TMP = read_pc(); ; PC++; ; TMP2 = read(TMP); ; A |= TMP2; ; set_nz(A); ; prefetch();,no,no,read,,high (mame opcode map),mame_handler=ora_zpg; cycles_source=mame_seq_derived
in_progress,shift_rotate,06,ASL,ZPG,5,"TMP = read_pc(); ; PC++; ; TMP2 = read(TMP); ; write(TMP, TMP2); ; TMP2 = do_asl(TMP2); ; write(TMP, TMP2); ; prefetch();",no,no,read-modify-write,,high (mame opcode map),mame_handler=asl_zpg; cycles_source=mame_seq_derived
planned,misc,07,SLO,ZPG,5,"TMP = read_pc(); ; PC++; ; TMP2 = read(TMP); ; write(TMP, TMP2); ; TMP2 = do_asl(TMP2); ; write(TMP, TMP2); ; A |= TMP2; ; set_nz(A); ; prefetch();",no,no,read,,high (mame opcode map),mame_handler=slo_zpg; cycles_source=mame_seq_derived
planned,stack,08,PHP,IMP,3,"read_pc(); ; write(SP, P); ; dec_SP(); ; prefetch();",no,no,stack,,high (mame opcode map),mame_handler=php_imp; cycles_source=mame_seq_derived
in_progress,logic,09,ORA,IMM,2,TMP = read_pc(); ; PC++; ; A |= TMP; ; set_nz(A); ; prefetch();,no,no,read,,high (mame opcode map),mame_handler=ora_imm; cycles_source=mame_seq_derived
