status,family,opcode_hex,mnemonic,address_mode,documented_cycles_wdc,visual6502_timing_path,has_page_cross_variant,has_branch_variant,read_write_pattern,implementation_owner,source_confidence,notes
planned,control,00,BRK,IMP,0/6,"if(irq_taken || nmi_pending) { ; read_pc(); ; read_pc(); ; PC++; ; write(SP, PC >> 8); ; dec_SP(); ; write(SP, PC); ; dec_SP(); ; write(SP, irq_taken || nmi_pending ? P & ~F_B : P); ; dec_SP(); ; if(irq_taken && nmi_pending) { ; standard_irq_callback(NMI_LINE, PC); ; PC = read_arg(0xfffa); ; PC = set_h(PC, read_arg(0xfffb)); ; nmi_pending = false; ; if(irq_taken) ; standard_irq_callback(IRQ_LINE, PC); ; PC = read_arg(0xfffe); ; PC = set_h(PC, read_arg(0xffff)); ; irq_taken = false; ; P = (P | F_I) & ~F_D; // Do *not* move after the prefetch ; prefetch(); ; inst_state = -1;",no,no,control-flow,backlog,high (mame opcode map),mame_handler=brk_c_imp; cmos-path handler; cycles_source=mame_seq_derived
implemented,logic,01,ORA,IND_X,6,"TMP2 = read_pc(); ; PC++; ; read(TMP2); ; TMP2 += X; ; TMP = read(TMP2 & 0xff); ; TMP = set_h(TMP, read((TMP2+1) & 0xff)); ; TMP2 = read(TMP); ; A |= TMP2; ; set_nz(A); ; prefetch();",no,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=ora_idx; cycles_source=mame_seq_derived; micro-queued in scheduler
planned,nop,02,NOP,IMM,2,read_pc(); ; PC++; ; prefetch();,no,no,read,backlog,high (mame opcode map),mame_handler=nop_imm; cycles_source=mame_seq_derived
planned,nop,03,NOP,IMP,1,prefetch();,no,no,internal,backlog,high (mame opcode map),mame_handler=nop_c_imp; cmos-path handler; cycles_source=mame_seq_derived
planned,bit_test_set,04,TSB,ZPG,5,"TMP = read_pc(); ; PC++; ; TMP2 = read(TMP); ; read(TMP); ; if(A & TMP2) ; P &= ~F_Z; ; else ; P |= F_Z; ; TMP2 |= A; ; write(TMP, TMP2); ; prefetch();",no,no,read-modify-write,backlog,high (mame opcode map),mame_handler=tsb_zpg; cycles_source=mame_seq_derived
implemented,logic,05,ORA,ZPG,3,TMP = read_pc(); ; PC++; ; TMP2 = read(TMP); ; A |= TMP2; ; set_nz(A); ; prefetch();,no,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=ora_zpg; cycles_source=mame_seq_derived; micro-queued in scheduler
implemented,shift_rotate,06,ASL,ZPG,5,"TMP = read_pc(); ; PC++; ; TMP2 = read(TMP); ; read(TMP); ; TMP2 = do_asl(TMP2); ; write(TMP, TMP2); ; prefetch();",no,no,read-modify-write,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=asl_c_zpg; cmos-path handler; cycles_source=mame_seq_derived; micro-queued in scheduler
planned,nop,07,NOP,IMP,1,prefetch();,no,no,internal,backlog,high (mame opcode map),mame_handler=nop_c_imp; cmos-path handler; cycles_source=mame_seq_derived
planned,stack,08,PHP,IMP,3,"read_pc(); ; write(SP, P); ; dec_SP(); ; prefetch();",no,no,stack,backlog,high (mame opcode map),mame_handler=php_imp; cycles_source=mame_seq_derived
implemented,logic,09,ORA,IMM,2,TMP = read_pc(); ; PC++; ; A |= TMP; ; set_nz(A); ; prefetch();,no,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=ora_imm; cycles_source=mame_seq_derived; micro-queued in scheduler
implemented,shift_rotate,0A,ASL,ACC,2,read_pc(); ; A = do_asl(A); ; prefetch();,no,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=asl_acc; cycles_source=mame_seq_derived; micro-queued in scheduler
