opcode_hex,cmd_class,cmd_expected_mnemonic,cmd_expected_bytes,cmd_expected_cycles,cmd_source_note,java_mnemonic,java_mode,java_bytes,java_cycles,mnemonic_match,bytes_match,cycles_match,overall
00,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,BRK,IMP,2,7,n/a,n/a,n/a,n/a
01,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,ORA,IND_X,2,6,n/a,n/a,n/a,n/a
02,invalid_opcode_table_v,NOP,2,2,invalid->NOP (X2),NOP,IMP,2,2,yes,yes,yes,match
03,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
04,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,TSB,ZPG,2,5,n/a,n/a,n/a,n/a
05,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,ORA,ZPG,2,3,n/a,n/a,n/a,n/a
06,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,ASL,ZPG,2,5,n/a,n/a,n/a,n/a
07,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
08,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,PHP,IMP,1,3,n/a,n/a,n/a,n/a
09,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,ORA,IMM,2,2,n/a,n/a,n/a,n/a
0A,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,ASL,ACC,1,2,n/a,n/a,n/a,n/a
0B,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
0C,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,TSB,ABS,3,6,n/a,n/a,n/a,n/a
0D,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,ORA,ABS,3,4,n/a,n/a,n/a,n/a
0E,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,ASL,ABS,3,6,n/a,n/a,n/a,n/a
0F,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
10,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,BPL,REL,2,2,n/a,n/a,n/a,n/a
11,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,ORA,IND_Y,2,5,n/a,n/a,n/a,n/a
12,invalid_opcode_table_v,NOP,2,2,invalid->NOP (X2),ORA,ZPG_IND,2,5,no,yes,no,mismatch
13,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
14,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,TRB,ZPG,2,5,n/a,n/a,n/a,n/a
15,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,ORA,ZPG_X,2,4,n/a,n/a,n/a,n/a
16,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,ASL,ZPG_X,2,6,n/a,n/a,n/a,n/a
17,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
