opcode_hex,rockwell_token,wdc_token,rockwell_normalized,wdc_normalized,raw_equal,normalized_equal
00,brk_c_imp,brk_s_imp,brk_imp,brk_imp,no,yes
01,ora_idx,ora_s_idx,ora_idx,ora_idx,no,yes
02,nop_imm,nop_imm,nop_imm,nop_imm,yes,yes
03,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
04,tsb_zpg,tsb_s_zpg,tsb_zpg,tsb_zpg,no,yes
05,ora_zpg,ora_zpg,ora_zpg,ora_zpg,yes,yes
06,asl_c_zpg,asl_s_zpg,asl_zpg,asl_zpg,no,yes
07,rmb_bzp,rmb_bzp,rmb_bzp,rmb_bzp,yes,yes
08,php_imp,php_imp,php_imp,php_imp,yes,yes
09,ora_imm,ora_imm,ora_imm,ora_imm,yes,yes
0A,asl_acc,asl_acc,asl_acc,asl_acc,yes,yes
0B,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
0C,tsb_aba,tsb_aba,tsb_aba,tsb_aba,yes,yes
0D,ora_aba,ora_aba,ora_aba,ora_aba,yes,yes
0E,asl_c_aba,asl_c_aba,asl_aba,asl_aba,yes,yes
0F,bbr_zpb,bbr_zpb,bbr_zpb,bbr_zpb,yes,yes
10,bpl_rel,bpl_rel,bpl_rel,bpl_rel,yes,yes
11,ora_idy,ora_s_idy,ora_idy,ora_idy,no,yes
12,ora_zpi,ora_zpi,ora_zpi,ora_zpi,yes,yes
13,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
14,trb_zpg,trb_s_zpg,trb_zpg,trb_zpg,no,yes
15,ora_zpx,ora_s_zpx,ora_zpx,ora_zpx,no,yes
16,asl_c_zpx,asl_s_zpx,asl_zpx,asl_zpx,no,yes
17,rmb_bzp,rmb_bzp,rmb_bzp,rmb_bzp,yes,yes
18,clc_imp,clc_imp,clc_imp,clc_imp,yes,yes
19,ora_aby,ora_s_aby,ora_aby,ora_aby,no,yes
1A,inc_acc,inc_acc,inc_acc,inc_acc,yes,yes
1B,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
1C,trb_aba,trb_aba,trb_aba,trb_aba,yes,yes
